Cenario 1;Cenario 2;Cenario 3;Cenario 4;Cenario 5;Cenario 6
862.2070864619;573.2511980260199;862.2070864619;299.25822062119994;299.25822062119994;375.78983114071997
1798.72105960434;326.1167621812;588.61402485492;658.1945110809581;326.1167621812;1460.30809163598
883.9531062382121;316.3179507848;316.3179507848;1727.3034328920803;316.3179507848;2267.89599632348
1128.571553899034;1218.55035846082;300.9984687836;609.3245232416859;300.9984687836;2505.9356126516604
1785.67603952846;1428.5811813242601;246.1331791012;856.3618896154619;246.1331791012;3064.3580798099397
850.94230084512;686.99525631246;178.74476705079996;344.30344472900003;178.74476705079996;1480.5048123347
614.18950446024;357.32718849978;144.87842139239999;194.99210485764;144.87842139239999;1515.6420428124597
900.0745393055149;411.49163211375;126.294287089;286.98823942363504;239.23450611694997;1507.249852472
1111.1708850880982;665.4755239212601;158.9117516508;347.91253168794003;278.87709859374;1424.21401028676
1380.210253114266;579.97438407714;187.03905592759997;522.7894923878;287.30425476091995;1600.41041379362
1375.8114453606001;1967.54581946928;157.3830251608;863.581299454052;259.55298903568007;1560.6719986847202
2060.73659131912;748.8618382247199;196.1381371048;931.2863826286681;703.7339897941321;2023.5989604410802
