Cenario 1;Cenario 2;Cenario 3;Cenario 4;Cenario 5;Cenario 6
335.16422637387734;522.329714376615;148.91017514384686;-223.47257110370552;644.3100047980032;143.58189686764555
-47.69632896993332;-158.9441635939744;-49.797145081635975;551.0894004659172;234.6957906815715;273.98229330098934
-1094.4183173005658;961.5735689352248;1654.0741428649785;-675.4923016927457;630.505622262879;395.26379592380295
2853.2948630708092;-1963.7917847648987;2185.939286018352;2928.3572559961403;-2440.605313209594;770.6411880971928
500.3031799724506;649.6469657557782;-1582.4833930932425;-1247.9874838540645;-1564.2794057555852;4361.033148462606
2396.1657310037886;1243.1174895174267;-1561.2819102991634;2549.6837419272433;1845.0485723987204;4022.063522980484
5304.092929741752;4875.772023615764;-2414.999898005664;-2127.5859955492774;3280.7610226507754;-1056.2010364213634
4859.2344287434935;-2701.4015517721277;3124.4801937917455;3853.581533028271;-1212.683118645319;2691.4171865983926
188.72211813159316;-3291.150134740117;-877.3838147543437;1368.8933046952861;3361.3535182678734;4767.428084052607
-1076.6542411714827;3858.99739076027;236.54555084367877;-1164.7241810846601;4946.9312127291505;-1481.6587914936567
950.70480641221;3843.217239784431;8242.832759734489;-3001.618258782871;3763.2580234717016;-2423.1511956203367
3371.8884337393984;5757.798029267849;-851.6415223065331;-1935.554189859144;2363.349348587991;-2475.2885673167775
