Cenario 1;Cenario 2;Cenario 3;Cenario 4;Cenario 5;Cenario 6
44.38400801464923;-847.7310100673418;1838.5692170729733;825.2945983780967;823.6773625961685;132.85467526407564
378.92216116796243;1479.465902786122;-688.4498078794539;182.93204303570303;-307.15106551162995;-137.64228635629505
1848.8427076524508;1046.8792099164518;1733.250192873233;810.6706232604837;-481.5474798029044;23.06962371146103
-2513.6313812067983;5629.479682522076;2219.052715509033;-3324.4934369800153;6124.858032054351;2229.1728331752224
3749.7190066415083;-53.131221143201856;-2854.70618910511;-2951.544679485262;-221.37112277604643;587.9235696430819
1435.2095936678727;-2936.170012365309;4948.226659211317;-3129.7374412100426;-1499.343246411296;5026.238801274152
-2006.5294323233416;-4219.638984111227;-4225.037495829973;2255.4065710389714;441.9975463634347;1543.0981573864506
4974.119467228157;-2571.1294142586376;3652.6842600685395;198.51218230976562;6309.198465454867;5392.812819569121
-3929.410549490932;5352.568478183444;-4179.129371663203;-2933.8507842782883;4576.660571160712;3290.5978805907234
2378.180224646903;2872.215958291912;4510.474386248425;2954.5777163741664;6571.930806478213;2916.9571063713006
-2042.5480245635367;1313.241201891441;2474.265903680128;1684.810138136142;2754.919091089304;2242.205030202729
1715.5288760459662;-693.5814310792273;-92.99431654692003;-1464.2431607871622;525.556998589695;2343.1053122401795
