Regiao,Data_Inicio,Duracao,Preco_Contrato,Carga_do_Contrato,Porcentagem_do_contrato_no_Portifolio
Norte,10,1,114.13397499999996,542.522950517198,0.04265376364901845
Norte,3,4,67.443203125,508.9631552809805,0.0016301437694957476
Norte,6,5,89.23185099999998,501.35413912213875,0.16835347312281929
Norte,4,6,78.03989041666667,514.0072928864575,0.16400465487907762
Norte,5,2,73.626705,524.070773678891,0.1745585434383139
Norte,4,3,70.72337,538.2237028584032,0.09136925273910769
Norte,10,1,114.13397499999996,518.7273632380792,0.060604520862958075
Norte,6,3,79.91763783333333,503.88958425721756,0.06843900623659989
Norte,8,1,81.63750500000002,521.4851438497984,0.12784365392699562
Norte,3,6,72.26161308333333,527.5566440615424,0.10054298737561386
